TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
42090796;42090885;42094043;43249055;43333010;1151;0;14;11;125;4_5;43
43399681;43399761;43402911;44558053;44642085;1151;0;14;11;125;4_5;44
44712479;44712558;44715760;45869056;45953046;1151;0;14;11;125;4_5;45
46019693;46019773;46022935;47260053;47344072;1233;0;14;11;125;4_5;46
47410762;47410846;47414002;48651055;48735001;1233;0;14;11;125;4_5;47
48801645;48801730;48804892;50042053;50126126;1233;0;14;11;125;4_5;48
50192839;50192928;50196080;51433054;51516982;1233;0;14;11;125;4_5;49
51583641;51583725;51586883;52906052;52990093;1315;0;14;11;125;4_5;50
53056796;53056886;53060040;54379058;54463022;1315;0;14;11;125;4_5;51
18626930;18627009;18627199;18627282;18711387;0;0;14;0;125;4_6;0
18777982;18778062;18778320;19213059;19296961;431;0;14;11;125;4_6;1
19363502;19363583;19366690;19802053;19885963;431;0;14;11;125;4_6;2
19952575;19952656;19955761;20391055;20474898;431;0;14;11;125;4_6;3
20541434;20541515;20544625;20980053;21061513;431;0;14;11;125;4_6;4
21125751;21125834;21128963;21662059;21745931;529;0;14;11;125;4_6;5
21812537;21812621;21815728;22349057;22432972;529;0;14;11;125;4_6;6
22503137;22503215;22506393;23038061;23121900;529;0;14;11;125;4_6;7
23188453;23188534;23191641;23725057;23808967;529;0;14;11;125;4_6;8
23875568;23875649;23878764;24412054;24495926;529;0;14;11;125;4_6;9
24562540;24562620;24565763;25197057;25281046;627;0;14;11;125;4_6;10
25347741;25347828;25350961;25982063;26066018;627;0;14;11;125;4_6;11
26132644;26132725;26135839;26767057;26851041;627;0;14;11;125;4_6;12
26917738;26917822;26920956;27552059;27635985;627;0;14;11;125;4_6;13
27706218;27706300;27709476;28437059;28521089;725;0;14;11;125;4_6;14
28587795;28587889;28591008;29320059;29403977;725;0;14;11;125;4_6;15
29470593;29470673;29473795;30203057;30287075;725;0;14;11;125;4_6;16
30353764;30353848;30356989;31086063;31169992;725;0;14;11;125;4_6;17
31236646;31236727;31239856;31969051;32053034;725;0;14;11;125;4_6;18
32119732;32119816;32122956;32950059;33033992;824;0;14;11;125;4_6;19
33100714;33100795;33103929;33931057;34015041;824;0;14;11;125;4_6;20
34081786;34081880;34085008;34912059;34996018;824;0;14;11;125;4_6;21
35066260;35066342;35069535;35897059;35981033;824;0;14;11;125;4_6;22
36047802;36047893;36051033;36976059;37059987;922;0;14;11;125;4_6;23
37126634;37126715;37129842;38055057;38139062;922;0;14;11;125;4_6;24
